Value,Count
680,12558.0
2157,10751.0
2315,6011.0
3449,4713.0
7487,1574.0
3288,814.0
5888,614.0
721,578.0
7627,562.0
2300,553.0
3968,542.0
5541,529.0
1286,496.0
237,485.0
4642,475.0
1365,465.0
6424,453.0
991,439.0
2806,402.0
256,400.0
4725,387.0
2346,382.0
7375,377.0
2520,374.0
5167,370.0
2009,366.0
5355,349.0
4252,347.0
4643,346.0
1218,344.0
6754,339.0
6946,339.0
409,336.0
5523,331.0
1718,328.0
7673,328.0
1342,315.0
4619,304.0
7361,303.0
7165,302.0
6740,293.0
1639,291.0
7182,287.0
2771,287.0
6665,275.0
957,273.0
5832,270.0
4781,266.0
4230,265.0
5688,263.0
2134,259.0
5882,252.0
3051,247.0
6179,245.0
6623,243.0
7593,238.0
5316,236.0
3438,233.0
2782,230.0
5294,228.0
89,227.0
6279,227.0
7277,222.0
796,220.0
2678,216.0
3559,214.0
1116,213.0
6176,213.0
3318,210.0
4126,209.0
1056,208.0
5758,208.0
8114,203.0
804,202.0
2872,201.0
321,198.0
6949,195.0
7319,195.0
1318,195.0
5360,194.0
5452,194.0
4388,187.0
1325,185.0
5983,183.0
4548,183.0
2847,178.0
5811,177.0
7406,176.0
4235,174.0
2798,174.0
3294,173.0
4365,173.0
7824,173.0
6266,173.0
1371,171.0
2928,171.0
822,170.0
7779,170.0
4815,170.0
1760,167.0
1229,167.0
6393,163.0
7617,163.0
6798,161.0
3351,160.0
4953,160.0
3306,160.0
836,156.0
3514,156.0
2372,154.0
187,153.0
5611,152.0
572,151.0
7679,150.0
7781,150.0
5513,149.0
7982,149.0
3653,147.0
1165,146.0
6938,146.0
7741,145.0
3853,145.0
5075,144.0
6156,144.0
1423,143.0
1208,143.0
8028,139.0
7491,138.0
3583,138.0
7412,137.0
5721,137.0
1424,137.0
2977,135.0
5899,134.0
461,132.0
3877,131.0
195,127.0
1370,127.0
209,126.0
10,126.0
1860,126.0
5235,126.0
5254,125.0
2589,125.0
2050,125.0
1234,124.0
1537,123.0
212,123.0
2297,122.0
5923,121.0
5441,121.0
7294,120.0
4939,120.0
5620,120.0
4251,119.0
3556,118.0
5331,118.0
573,116.0
5946,116.0
2619,115.0
4508,115.0
7717,115.0
7927,114.0
7797,114.0
2426,114.0
765,113.0
5000,112.0
3928,112.0
3040,111.0
5143,111.0
1649,111.0
18,111.0
163,110.0
5760,110.0
4657,110.0
699,109.0
1877,109.0
1698,108.0
4012,106.0
564,106.0
3529,106.0
7235,105.0
5545,105.0
5478,105.0
8127,105.0
1619,104.0
5746,104.0
1657,104.0
4038,104.0
3110,103.0
1979,103.0
5625,103.0
1084,102.0
5614,102.0
231,102.0
2728,102.0
4498,102.0
1883,101.0
2862,101.0
7440,100.0
6525,100.0
7367,100.0
6937,100.0
1583,100.0
2287,99.0
5278,99.0
146,99.0
6613,98.0
432,98.0
7131,97.0
4890,97.0
404,97.0
4963,97.0
99,97.0
7068,96.0
7186,96.0
4048,96.0
1227,96.0
5932,96.0
893,96.0
5048,96.0
7575,95.0
2397,95.0
4144,95.0
7645,94.0
5890,94.0
2978,94.0
4072,94.0
1613,94.0
3437,94.0
6578,94.0
832,94.0
919,93.0
7780,93.0
5894,93.0
5826,93.0
4018,92.0
2602,92.0
5217,92.0
8013,91.0
4879,91.0
5222,91.0
2636,91.0
1805,91.0
4369,91.0
7979,90.0
6614,90.0
510,90.0
1692,90.0
1595,90.0
7809,89.0
6916,89.0
1343,89.0
8071,89.0
1587,89.0
1736,88.0
5087,87.0
7720,87.0
425,87.0
1829,87.0
5242,87.0
820,87.0
5168,87.0
2882,87.0
2938,87.0
1312,87.0
8047,87.0
3977,87.0
3420,86.0
2189,86.0
1336,86.0
843,86.0
8049,86.0
3884,86.0
341,85.0
2391,85.0
2292,85.0
2141,85.0
6726,85.0
6308,84.0
1976,84.0
4323,84.0
3004,84.0
3767,84.0
6234,84.0
2885,84.0
6215,83.0
5038,83.0
6383,83.0
507,83.0
3903,83.0
3065,83.0
3551,83.0
2622,83.0
2279,83.0
4153,83.0
7418,82.0
5117,82.0
2742,81.0
6683,81.0
4019,81.0
8025,81.0
3272,80.0
8041,80.0
7823,80.0
7430,80.0
5943,80.0
6281,80.0
651,79.0
6,79.0
3654,79.0
